,Latency1,Latency2,Latency3,Latency4,average
0.05,0.00104180730799472,0.00103986822037068,0.00103990256235517,0.00104528436527914,0.0010417156139999274
0.15,0.00115627387807797,0.00115854672278613,0.00114186060073152,0.00116082518739212,0.001154376597246935
0.25,0.00131337170326847,0.00132274528500129,0.00130073188990061,0.00133360896915996,0.0013176144618325825
0.35,0.00156294253894233,0.00156783220034021,0.00156267027366842,0.00154428543688476,0.0015594326124589298
0.44999999999999996,0.00201616464876701,0.00201457821326484,0.00202814021672915,0.00202226523517655,0.0020202870784843878
0.5499999999999999,0.00283490910553187,0.00285710479540219,0.00289831277825666,0.00281526995179728,0.002851399157747
0.65,0.00428695189074549,0.00426480897360767,0.0042407588695398,0.00430555914432868,0.00427451971955541
0.75,0.00606998507255024,0.00592027309263196,0.00640522268546255,0.00585549469176213,0.006062743885601719
0.85,0.00937010271178557,0.00948530476044952,0.00957755379365993,0.00940550607652189,0.009459616835604229
0.95,0.0113519462031094,0.0113388116960857,0.0113135738815041,0.0113227807867551,0.011331778141863574
