,Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0,0.004562046598641046,0.00338010665967063,0.0061534663707236295,538.8630694625355,517.152769124814,561.326088349404,Mesh,4,0.95,2.0
1,0.02216581478092993,0.0115415027413695,0.0307797574558713,494.09133415324965,438.368461754912,555.581686633528,Mesh,6,0.95,8.0
2,0.00863053626870083,0.00501272002246585,0.0117116056319953,347.85598051783165,211.56132594130298,485.606195042952,Mesh,9,0.95,1.0
3,0.016453902623261196,0.007688336180255479,0.0233264599284282,303.55396250905363,143.19270790322,493.62666745667,Mesh,12,0.95,2.0
4,0.02056226526033168,0.00924059519760202,0.0304641506165401,253.74173170375562,77.973025889301,483.978998704453,Mesh,16,0.95,2.0
5,0.08248309583890477,0.0716708981371045,0.0936043509466712,248.2601638397394,190.12777398584402,310.591782249444,Torus,9,0.95,8.0
6,0.05136245957142487,0.0461229169768441,0.0603495182294373,80.01325583615431,46.6401104051835,136.226224468666,Torus,16,0.95,1.0
0,0.003647187381495705,0.002934989728787,0.00446333915390622,528.4774210580545,509.92321512460296,551.48406664073,Mesh,4,0.95,1.0
1,,,,,,,Mesh,6,0.95,2.0
2,0.013375067952891591,0.007216290218829841,0.0183103450416857,475.85564246067946,413.72893626817904,540.9217765113,Mesh,6,0.95,4.0
3,0.012395605474726677,0.0066836352805965,0.0171817312869018,373.844857900054,254.508446869758,505.26401652163804,Mesh,8,0.95,2.0
4,0.02712049870770536,0.0127485807208539,0.0408674238641731,405.07924732060064,271.253929212752,544.421552073879,Mesh,9,0.95,6.0
5,0.045811097843896136,0.0202755984416509,0.0678844551587231,347.5321207689196,191.367229207629,535.360774937536,Mesh,12,0.95,8.0
6,0.020508999322827376,0.016945986248531,0.0248033717444203,198.70550932907622,158.600852331894,241.43377973943902,Torus,4,0.95,1.0
7,0.024026674229082248,0.0207159681698121,0.0280214874219125,255.68498853986424,196.59069864143,314.515698683402,Torus,4,0.95,2.0
8,0.0306255000587254,0.0300317171140832,0.0310246268639329,332.895039427104,279.364176611444,387.443382957577,Torus,4,0.95,4.0
9,0.03872177838854445,0.0355933815364169,0.0429098698934836,357.05891285291153,300.574097518431,420.032365495913,Torus,4,0.95,6.0
10,0.048167907895765034,0.0441465166747508,0.0524713356798395,369.02676391910575,314.03203998206,431.240189837727,Torus,4,0.95,8.0
11,0.026788598088466162,0.0222388640805612,0.030567911586566004,141.35401966658134,107.199340143531,181.267161164523,Torus,6,0.95,1.0
12,0.03153561079601112,0.0273009342292915,0.0352814936399823,184.46655219157012,138.50958458965,237.97538379774502,Torus,6,0.95,2.0
13,0.0400281742839298,0.0360051521506222,0.0455600433896063,245.79281727427173,178.42497463409902,312.163391665831,Torus,6,0.95,4.0
14,0.050554949906541635,0.0445580993022554,0.0585509090871965,271.27919423549355,192.448727318754,341.620135020892,Torus,6,0.95,6.0
15,0.06051706184134965,0.0525390425997081,0.0707106310800279,288.16445049388136,211.390597595607,358.990727779717,Torus,6,0.95,8.0
16,0.03686556017596733,0.0312886891441078,0.043530674579217006,97.19910056683143,55.352794645083,156.443590781863,Torus,8,0.95,1.0
17,0.044066918315002084,0.0377300740141673,0.0516151282672581,127.63127983066263,72.4708908812032,208.40591940856098,Torus,8,0.95,2.0
18,0.07118968018620239,0.0608737572738243,0.0883625875064084,191.7769336658073,102.806890921793,312.725835184288,Torus,8,0.95,6.0
19,0.05331347865844101,0.0474612009981443,0.0580211000566606,210.92484581664525,165.765304870403,266.390906366487,Torus,9,0.95,4.0
20,0.062358047597878476,0.05445775729925799,0.0704518991392378,168.7145880063241,94.185907516872,274.40553139481005,Torus,12,0.95,4.0
21,0.07924758938458877,0.0694914139607841,0.0900782596269833,144.51368333164612,69.9544176957651,252.00394038952004,Torus,16,0.95,4.0
0,0.00620220910856141,0.00412631109760926,0.009189644498599691,546.9523828029513,523.978246206966,565.521247721518,Mesh,4,0.95,4.0
1,0.008261403099606417,0.00497683222717641,0.0109549821220539,357.0107362900467,232.549555232353,487.38785474811203,Mesh,8,0.95,1.0
2,0.03550312708767886,0.0169122670209791,0.0501862974076585,407.1233207944072,307.85909048967096,539.77667012629,Mesh,8,0.95,8.0
3,0.02730516562051417,0.0123128910749084,0.0389442942445526,319.86663448757963,163.68362675609302,515.983079996112,Mesh,12,0.95,4.0
4,0.045489150093197914,0.0193763512506917,0.0685408802719795,286.65917111519826,105.216982783766,525.740004328117,Mesh,16,0.95,6.0
5,0.08808710933132123,0.075975361856672,0.108144167328119,198.76893478011937,104.363846254645,320.95739833141005,Torus,8,0.95,8.0
6,0.042669625178887664,0.0390256154097423,0.047354899948243,152.84377663977205,120.76097916115,192.379076745863,Torus,9,0.95,2.0
7,0.07861799341046921,0.0677375075923815,0.0903061649792647,187.93054899393925,104.11390097573,307.219961064021,Torus,12,0.95,6.0
8,0.0992865459690267,0.08409467302413,0.11760522831433401,161.97115161151382,77.6814042509785,283.882116842771,Torus,16,0.95,6.0
0,0.0072658147804690815,0.00457311116668698,0.0110185162139815,553.3587219108965,531.787302691955,568.320278111065,Mesh,4,0.95,6.0
1,0.01997379872353823,0.00970330233669355,0.0277133408175373,393.125516331,283.956058486362,527.889860406461,Mesh,8,0.95,4.0
2,0.011159191293544169,0.005950860024922021,0.015241206032684999,284.37627783406543,127.142169389108,466.61166172023496,Mesh,12,0.95,1.0
3,0.033502241199198105,0.0144834007761407,0.0506626003145947,273.2276582778398,93.8584953315807,508.670699228711,Mesh,16,0.95,4.0
4,0.06820589987670066,0.059436459616176995,0.0755819997045128,232.12382357191612,176.35653010366698,295.219943193638,Torus,9,0.95,6.0
