Statistics for the Long Run Time Average SendRate4.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.9			inf			false
Not Specified		[-inf, inf]				0.9			inf			false
359.071637540343	[281.223173678923, 436.920101401763]	0.9			0.276820942040504		false
358.467862417949	[308.556817415777, 408.378907420121]	0.9			0.161756416274276		false
358.75161098255	[322.377152525699, 395.126069439401]	0.9			0.112831998706706		false
356.957377089113	[328.940398639607, 384.974355538619]	0.9			0.0851734191524514		false
352.115551458401	[328.337708494877, 375.893394421925]	0.9			0.0724188612770773		false
353.203469279618	[332.740767508232, 373.666171051005]	0.9			0.0614974291386768		false
356.859727480489	[337.276586219898, 376.442868741081]	0.9			0.058062557736587		false
356.489035934127	[339.240691949034, 373.737379919221]	0.9			0.0508439712405871		false
357.882918851508	[342.039809449958, 373.726028253057]	0.9			0.0463194896144612		true
357.882918851508	[342.039809449958, 373.726028253057]	0.9			0.0463194896144612		true
354.593532996995	[339.160613154038, 370.026452839951]	0.9			0.0455032785188038		true
353.47601597696	[339.332955141633, 367.619076812287]	0.9			0.0416790076561351		true
352.152845656488	[339.009084018779, 365.296607294197]	0.9			0.0387711192924293		true
352.1337037542	[339.963439581363, 364.303967927038]	0.9			0.0357987440879655		true
356.369687364339	[342.204908626111, 370.534466102567]	0.9			0.0413926813472587		true
355.286270388647	[341.964087519876, 368.608453257417]	0.9			0.038957841934195		true
356.513407907104	[343.667962938905, 369.358852875304]	0.9			0.0373774874397674		true
354.617783181326	[342.088015014113, 367.147551348539]	0.9			0.0366273228446674		true
352.186119072234	[339.565379487299, 364.806858657168]	0.9			0.037167333148008		true
352.149120610246	[340.177000922482, 364.121240298009]	0.9			0.0351937951575156		true
352.980554811638	[341.413837545112, 364.547272078163]	0.9			0.0338788765847751		true
352.137668307479	[341.046130367664, 363.229206247294]	0.9			0.0325221046427293		true
354.125510944141	[342.724559853846, 365.526462034435]	0.9			0.0332656378496961		true
354.556858392983	[343.576841504143, 365.536875281823]	0.9			0.0319579656206473		true
354.221474938727	[343.691573811827, 364.751376065627]	0.9			0.0306376470336891		true
356.296055862708	[345.292393317879, 367.299718407537]	0.9			0.0318676656589392		true
355.46618458848	[344.808137253654, 366.124231923306]	0.9			0.0309100806602639		true
