Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,NumberOfNodes,Load Value,NIBufferCapacity
0.004079526,0.003434961,0.004784384,267.3280341,261.2104907,270.9793277,9,0.45,2
0.01252701,0.006625637,0.017564716,369.2520998,229.1202429,513.2516778,9,0.95,2
0.007066351,0.004557088,0.00933574,354.2964455,325.3741273,380.2283357,9,0.65,2
0.002804179,0.002523626,0.003029268,149.5863822,145.8655484,151.8237868,9,0.25,2
0.003814622,0.003269645,0.004352229,264.1986306,256.1089909,270.9422179,9,0.45,1
0.008561922,0.004890539,0.011481704,348.1456507,212.566939,483.8350234,9,0.95,1
0.002771176,0.002489498,0.003019006,150.3901918,144.5914643,155.577805,9,0.25,1
0.005601109,0.003977196,0.007177949,338.7537275,300.4042291,373.7999251,9,0.65,1
0.016519316,0.008119838,0.023975022,380.1180269,246.1172482,520.2937525,9,0.95,3
0.008307317,0.00514057,0.011206725,360.7206561,335.0248939,382.1235815,9,0.65,3
0.004279557,0.003591935,0.005281409,268.3291825,264.1626252,272.2310527,9,0.45,3
0.002859723,0.002635986,0.003115812,152.4146178,148.3552162,155.7122062,9,0.25,3
0.00803225,0.005316685,0.010985753,249.1200518,230.433663,266.1495942,16,0.45,2
0.014789469,0.007302038,0.02156746,269.4059753,149.0213685,364.0788452,16,0.65,2
0.003831768,0.003366615,0.004506951,149.9910124,146.3295338,155.8014024,16,0.25,2
0.020536895,0.009161858,0.03023533,254.3217191,77.64936165,485.7529227,16,0.95,2
0.006758936,0.004703944,0.008832285,237.5291653,209.1553909,259.8768111,16,0.45,1
0.008750168,0.005663929,0.012405526,256.9500837,241.3452108,268.813055,16,0.45,3
0.010511071,0.00590952,0.015003789,250.2359305,126.0232372,348.4787439,16,0.65,1
0.018430907,0.008855063,0.027202761,282.9458855,167.4662013,371.6263902,16,0.65,3
0.013904459,0.006849776,0.01978925,234.7079135,63.17372326,456.5418414,16,0.95,1
0.027463032,0.01189391,0.041942005,262.166422,85.55056161,498.1125045,16,0.95,3
0.003679389,0.003219705,0.004202421,148.70419,145.6258159,151.3527592,16,0.25,1
0.003837651,0.003329523,0.004599982,150.8003546,147.3453645,155.262587,16,0.25,3
0.002269985,0.002205432,0.002331398,274.2417638,268.7891983,283.1806689,4,0.45,1
0.002369175,0.002228563,0.002550911,269.8580131,257.0786456,278.1215445,4,0.45,3
0.002579616,0.002406365,0.002813585,384.1902777,376.3177718,391.4548813,4,0.65,1
0.002814278,0.002509087,0.003270482,386.8603123,386.0698295,388.0342422,4,0.65,3
0.003599183,0.002890356,0.004472664,530.5685809,511.3894809,552.6420972,4,0.95,1
0.005363809,0.003726838,0.007621383,544.0142579,523.2715985,561.2714512,4,0.95,3
0.002110038,0.00208745,0.002126806,149.872564,144.2993333,156.2004286,4,0.25,1
0.002111845,0.002075716,0.002142404,151.6858592,148.109293,155.8467762,4,0.25,3
0.002303654,0.002230764,0.002425158,272.3625836,264.744277,278.2868407,4,0.45,2
0.00269539,0.002432898,0.003089677,390.1239739,386.6570621,394.4591937,4,0.65,2
0.004577646,0.003319818,0.006227194,538.1497427,513.5833647,561.457813,4,0.95,2
0.002112988,0.00209021,0.002152138,149.2280836,146.2743587,154.8554703,4,0.25,2
