Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0.019292356,0.014674348,0.023882894,203.1114208,177.8390573,231.1772588,Torus,4,0.45,2
0.035539871,0.029644015,0.040381793,133.9687156,100.475565,162.2133995,Torus,8,0.45,2
0.043232253,0.039537884,0.047795198,151.0770717,121.7977945,185.6637225,Torus,9,0.95,2
0.045486686,0.041255472,0.051695304,97.90741431,84.01432846,106.1586736,Torus,16,0.25,2
0.016769979,0.010693469,0.022450081,131.9557929,123.7799651,144.8845511,Torus,4,0.25,2
0.026904975,0.022057963,0.033814772,113.2164992,107.9444712,120.0678176,Torus,8,0.25,2
0.050605717,0.043248637,0.059025077,120.0248921,66.22671873,193.2137035,Torus,12,0.95,2
0.014461414,0.013276808,0.015239124,130.7646699,122.2403613,140.4134506,Ring,4,0.25,2
0.025986616,0.018827425,0.034600158,177.3910687,106.0677051,295.0111089,Ring,4,0.65,2
0.030734718,0.026456357,0.035822847,101.4559883,82.17666456,131.2928874,Ring,6,0.25,2
0.059699696,0.042851494,0.09995494,94.35010074,18.31532104,294.717072,Ring,6,0.95,2
0.072739542,0.060829878,0.097682572,69.26034862,10.67868436,194.8799714,Ring,8,0.45,2
0.023465827,0.021941788,0.025434128,259.7990124,211.2612427,311.8260947,Torus,4,0.95,2
0.032236525,0.028457333,0.036943313,181.1233248,138.8959178,228.2699341,Torus,6,0.95,2
0.036195178,0.032367862,0.041533538,147.8631678,139.0387763,155.1652744,Torus,9,0.45,2
0.034054877,0.02939205,0.040714904,109.0315085,98.16233906,117.7898099,Torus,12,0.25,2
0.060338458,0.05310059,0.067713927,105.6817551,60.82352463,161.378042,Torus,16,0.65,2
0.021807063,0.019147226,0.025092886,238.9166099,198.1145144,280.6255707,Torus,4,0.65,2
0.028823845,0.024901619,0.032439721,186.7839357,159.2355999,215.5833293,Torus,6,0.65,2
0.041091115,0.034516619,0.04770529,130.7564219,82.01073632,190.6822509,Torus,8,0.65,2
0.042886819,0.037325912,0.04904231,124.6544495,90.48331374,157.7890575,Torus,12,0.45,2
0.063051605,0.055729182,0.072790555,104.0936199,56.6059372,175.0860637,Torus,16,0.95,2
0.025702206,0.021403227,0.030597416,172.5527179,159.0657536,184.3899342,Torus,6,0.45,2
0.045074871,0.037291393,0.055696172,125.2971752,69.57606077,205.0631103,Torus,8,0.95,2
0.040769169,0.037871735,0.045655247,151.7554888,131.9077837,174.8258964,Torus,9,0.65,2
0.047479287,0.042408222,0.055467657,123.9292207,76.6658505,180.7071278,Torus,12,0.65,2
0.020129977,0.01662002,0.023672595,173.6232242,136.4549575,226.9951436,Ring,4,0.45,2
0.031510694,0.021586259,0.047357315,169.4334317,74.8338563,349.3733035,Ring,4,0.95,2
0.045494554,0.037118874,0.058452126,102.5611089,43.24497114,204.9516958,Ring,6,0.45,2
0.053544496,0.039989047,0.078536246,97.99247457,24.69729858,256.2143491,Ring,6,0.65,2
0.055252496,0.046180304,0.068118419,73.54030875,35.96660805,124.9162469,Ring,8,0.25,2
0.021339321,0.015414367,0.02766557,126.3267527,116.6962098,133.9658298,Torus,6,0.25,2
0.028741679,0.02380342,0.0345809,117.1114778,109.8600759,124.4934504,Torus,9,0.25,2
0.05656968,0.051087583,0.063903917,106.0229345,71.45046627,136.9384279,Torus,16,0.45,2
0.004079526,0.003434961,0.004784384,267.3280341,261.2104907,270.9793277,Mesh,9,0.45,2
0.01252701,0.006625637,0.017564716,369.2520998,229.1202429,513.2516778,Mesh,9,0.95,2
0.007066351,0.004557088,0.00933574,354.2964455,325.3741273,380.2283357,Mesh,9,0.65,2
0.002804179,0.002523626,0.003029268,149.5863822,145.8655484,151.8237868,Mesh,9,0.25,2
0.003814622,0.003269645,0.004352229,264.1986306,256.1089909,270.9422179,Mesh,9,0.45,1
0.008561922,0.004890539,0.011481704,348.1456507,212.566939,483.8350234,Mesh,9,0.95,1
0.002771176,0.002489498,0.003019006,150.3901918,144.5914643,155.577805,Mesh,9,0.25,1
0.005601109,0.003977196,0.007177949,338.7537275,300.4042291,373.7999251,Mesh,9,0.65,1
0.016519316,0.008119838,0.023975022,380.1180269,246.1172482,520.2937525,Mesh,9,0.95,3
0.008307317,0.00514057,0.011206725,360.7206561,335.0248939,382.1235815,Mesh,9,0.65,3
0.004279557,0.003591935,0.005281409,268.3291825,264.1626252,272.2310527,Mesh,9,0.45,3
0.002859723,0.002635986,0.003115812,152.4146178,148.3552162,155.7122062,Mesh,9,0.25,3
0.00803225,0.005316685,0.010985753,249.1200518,230.433663,266.1495942,Mesh,16,0.45,2
0.014789469,0.007302038,0.02156746,269.4059753,149.0213685,364.0788452,Mesh,16,0.65,2
0.003831768,0.003366615,0.004506951,149.9910124,146.3295338,155.8014024,Mesh,16,0.25,2
0.020536895,0.009161858,0.03023533,254.3217191,77.64936165,485.7529227,Mesh,16,0.95,2
0.006758936,0.004703944,0.008832285,237.5291653,209.1553909,259.8768111,Mesh,16,0.45,1
0.008750168,0.005663929,0.012405526,256.9500837,241.3452108,268.813055,Mesh,16,0.45,3
0.010511071,0.00590952,0.015003789,250.2359305,126.0232372,348.4787439,Mesh,16,0.65,1
0.018430907,0.008855063,0.027202761,282.9458855,167.4662013,371.6263902,Mesh,16,0.65,3
0.013904459,0.006849776,0.01978925,234.7079135,63.17372326,456.5418414,Mesh,16,0.95,1
0.027463032,0.01189391,0.041942005,262.166422,85.55056161,498.1125045,Mesh,16,0.95,3
0.003679389,0.003219705,0.004202421,148.70419,145.6258159,151.3527592,Mesh,16,0.25,1
0.003837651,0.003329523,0.004599982,150.8003546,147.3453645,155.262587,Mesh,16,0.25,3
0.002269985,0.002205432,0.002331398,274.2417638,268.7891983,283.1806689,Mesh,4,0.45,1
0.002369175,0.002228563,0.002550911,269.8580131,257.0786456,278.1215445,Mesh,4,0.45,3
0.002579616,0.002406365,0.002813585,384.1902777,376.3177718,391.4548813,Mesh,4,0.65,1
0.002814278,0.002509087,0.003270482,386.8603123,386.0698295,388.0342422,Mesh,4,0.65,3
0.003599183,0.002890356,0.004472664,530.5685809,511.3894809,552.6420972,Mesh,4,0.95,1
0.005363809,0.003726838,0.007621383,544.0142579,523.2715985,561.2714512,Mesh,4,0.95,3
0.002110038,0.00208745,0.002126806,149.872564,144.2993333,156.2004286,Mesh,4,0.25,1
0.002111845,0.002075716,0.002142404,151.6858592,148.109293,155.8467762,Mesh,4,0.25,3
0.002303654,0.002230764,0.002425158,272.3625836,264.744277,278.2868407,Mesh,4,0.45,2
0.00269539,0.002432898,0.003089677,390.1239739,386.6570621,394.4591937,Mesh,4,0.65,2
0.004577646,0.003319818,0.006227194,538.1497427,513.5833647,561.457813,Mesh,4,0.95,2
0.002112988,0.00209021,0.002152138,149.2280836,146.2743587,154.8554703,Mesh,4,0.25,2
0.000228581,0.00022621,0.000233061,268.5179238,262.0344145,274.2503763,Bus,4,0.45,2
0.000231402,0.000227984,0.000233598,270.7015195,269.5547964,273.7825396,Bus,4,0.45,1
0.000229151,0.000224873,0.000233186,271.2288019,264.9875588,275.0458273,Bus,4,0.45,3
0.000172721,0.000171739,0.000173822,90.97023854,89.68806209,91.86166198,Bus,4,0.15,2
0.000173749,0.000170872,0.000177024,90.30716338,85.68740523,93.83564221,Bus,4,0.15,1
0.000172338,0.000171725,0.000173178,88.77142722,86.93456296,90.71644243,Bus,4,0.15,3
0.000366878,0.000362151,0.000378882,569.9140431,567.7715789,571.1915061,Bus,4,0.95,2
0.00036665,0.000362123,0.000369856,569.6995201,566.5148093,572.5339284,Bus,4,0.95,1
0.000370091,0.000361485,0.000376158,570.2349373,568.984789,571.9798344,Bus,4,0.95,3
0.001714328,0.001688489,0.001755979,260.3703124,254.4437504,265.6244563,Bus,8,0.45,2
0.001028842,0.000995265,0.00106394,260.2349386,256.2167681,266.2221685,Bus,8,0.45,1
0.002362693,0.00230526,0.002455426,263.4880714,259.1898315,267.4129317,Bus,8,0.45,3
0.000239278,0.000233783,0.000248053,90.41973815,87.57917653,92.9901425,Bus,8,0.15,2
0.000224845,0.000222708,0.000227887,90.21888399,88.35355427,92.60745189,Bus,8,0.15,1
0.000234299,0.000228372,0.000238917,89.77401262,87.78909586,92.12372274,Bus,8,0.15,3
0.006113117,0.006102315,0.006124888,312.7719174,312.6568556,312.833744,Bus,8,0.95,2
0.002925235,0.002921176,0.002932189,312.7000382,312.323696,313.031688,Bus,8,0.95,1
0.009309182,0.009295697,0.009322146,312.9075159,312.837804,312.9851895,Bus,8,0.95,3
0.005364851,0.005183956,0.005487667,207.0716913,202.2152498,216.6348807,Bus,12,0.45,2
0.002610619,0.00255156,0.002659673,205.6459223,194.4070742,211.9455252,Bus,12,0.45,1
0.008355095,0.008233589,0.008571026,208.0617776,201.8065911,213.3634516,Bus,12,0.45,3
0.000440466,0.000425692,0.000456155,90.23195791,88.70111049,92.79577265,Bus,12,0.15,2
0.000356031,0.000337869,0.000372299,90.39465381,87.69708607,93.99011452,Bus,12,0.15,1
0.000470555,0.000464611,0.000482793,89.90832621,88.20876789,92.93506692,Bus,12,0.15,3
0.009339105,0.00932784,0.009348813,208.4966768,208.4400482,208.5426779,Bus,12,0.95,2
0.004544054,0.004537441,0.004549294,208.4201082,208.3581921,208.4610254,Bus,12,0.95,1
0.014128961,0.014108152,0.014146511,208.600155,208.54552,208.639306,Bus,12,0.95,3
0.009100278,0.008942475,0.00923611,156.5721863,150.6343558,160.0993769,Bus,16,0.45,2
0.004279503,0.004186361,0.004353178,156.7946575,151.6160286,162.0624592,Bus,16,0.45,1
0.01377171,0.013381644,0.013978098,156.7484482,151.5943015,162.1174462,Bus,16,0.45,3
0.00084262,0.000814105,0.00087595,89.53097839,87.40003156,91.280525,Bus,16,0.15,2
