Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0.00227282,0.00219,0.002374119,272.5519969,269.4890869,276.7363669,Mesh,4,0.45,1
0.003579735,0.002899687,0.004468439,530.5725823,510.3150448,551.8758658,Mesh,4,0.95,1
0.002816244,0.0024987,0.003289348,386.086727,380.3177313,389.6650972,Mesh,4,0.65,2
0.00308505,0.002744383,0.003385283,267.496069,264.6257151,268.8023747,Mesh,6,0.45,3
0.003707762,0.003090542,0.004198726,263.3327522,258.5877389,273.5823499,Mesh,8,0.45,1
0.002802157,0.002545102,0.002992031,148.1033149,144.6446112,152.4181951,Mesh,8,0.25,3
0.003742192,0.003249907,0.004370004,261.9126126,253.6318602,268.6708305,Mesh,9,0.45,1
0.002766242,0.002540176,0.002980137,149.0174543,144.0719442,153.0343204,Mesh,9,0.25,1
0.016585756,0.008107137,0.024478696,377.4632318,238.2766803,525.6618245,Mesh,9,0.95,3
0.006085094,0.004556208,0.008057268,265.4418268,260.6153899,274.2552384,Mesh,12,0.45,3
0.00673851,0.004662146,0.008866974,238.3429743,207.0969838,262.6131232,Mesh,16,0.45,1
0.020767279,0.009305086,0.030734566,251.778468,75.46219328,483.196103,Mesh,16,0.95,2
0.020298819,0.016694081,0.024023247,200.1550451,157.3344093,243.1837659,Torus,4,0.95,1
0.027238858,0.025642272,0.02888641,300.8930907,241.8430408,359.2906646,Torus,4,0.95,3
0.023410849,0.020927487,0.0266337,280.8520278,233.8482715,323.2673719,Torus,4,0.65,3
0.025638639,0.021227586,0.030436282,172.8572006,163.065701,184.5461658,Torus,6,0.45,2
0.026739054,0.023346496,0.030754287,199.8003084,190.1190429,211.042638,Torus,6,0.45,3
0.021483282,0.016525757,0.027427007,137.9150237,131.6285707,144.6615016,Torus,6,0.25,3
0.02587044,0.021661827,0.030136476,139.5393266,121.0680911,161.891563,Torus,6,0.65,1
0.031006056,0.026892106,0.03570007,103.5701398,78.44041604,128.7080051,Torus,8,0.45,1
0.027577169,0.023863245,0.03394475,126.0397289,119.5282202,129.4626472,Torus,8,0.25,3
0.040447594,0.03378317,0.048434416,133.7218255,83.41693344,191.9625757,Torus,8,0.65,2
0.044903519,0.037809229,0.054098445,160.6725021,99.83672712,231.4168767,Torus,8,0.65,3
0.043687234,0.039542165,0.049345562,149.7854474,117.898044,185.8692066,Torus,9,0.95,2
0.038106015,0.0330966,0.043436553,94.03331858,66.20845115,120.7259888,Torus,12,0.45,1
