,Latency Average,Latency Min,Latency Max,Sendrate Average,Sendrate Min,Sendrate Max,Interconnect,NumberOfNodes,Load Value,NIBufferCapacity
0,0.019292356162770925,0.0146743476633124,0.0238828938502697,203.11142078422554,177.839057326574,231.177258841068,Torus,4,0.45,2.0
1,0.035539871215050575,0.029644015366232002,0.0403817927804028,133.96871555281825,100.475564970189,162.213399452815,Torus,8,0.45,2.0
2,0.04323225277986821,0.0395378844447987,0.0477951978152732,151.0770716782864,121.797794479813,185.66372251289602,Torus,9,0.95,2.0
3,0.04548668597399848,0.0412554723964098,0.0516953039811278,97.90741431020157,84.01432845964051,106.158673648957,Torus,16,0.25,2.0
0,0.016769978923405725,0.0106934690280607,0.0224500812604189,131.9557928982555,123.77996506854299,144.884551091227,Torus,4,0.25,2.0
1,0.02690497518822836,0.0220579628029439,0.0338147716852229,113.21649915242024,107.944471215704,120.06781760861,Torus,8,0.25,2.0
2,0.05060571729672325,0.0432486374534664,0.0590250774540526,120.02489207166941,66.226718731965,193.213703548466,Torus,12,0.95,2.0
3,0.014461414245367375,0.0132768075162881,0.0152391242062372,130.76466994773452,122.24036129649099,140.413450552222,Ring,4,0.25,2.0
4,0.025986616357115827,0.0188274246595574,0.0346001584734808,177.39106874322576,106.067705083286,295.01110893112997,Ring,4,0.65,2.0
5,0.0307347181603744,0.0264563567619834,0.0358228473285064,101.45598833093271,82.1766645642539,131.2928874349,Ring,6,0.25,2.0
6,0.05969969588771245,0.0428514935758373,0.0999549401843315,94.35010074499313,18.315321038969103,294.71707195182097,Ring,6,0.95,2.0
7,0.07273954242920176,0.0608298784042128,0.0976825716163217,69.26034861685521,10.678684357428802,194.879971364656,Ring,8,0.45,2.0
0,0.023465827451747003,0.0219417883962564,0.0254341284945428,259.799012380224,211.26124269272702,311.826094715927,Torus,4,0.95,2.0
1,0.03223652511985763,0.0284573330581053,0.0369433131851531,181.12332484042415,138.895917798339,228.269934104357,Torus,6,0.95,2.0
2,0.0361951782689954,0.0323678619749082,0.0415335377738644,147.86316780498356,139.03877625404698,155.165274372802,Torus,9,0.45,2.0
3,0.034054876817858716,0.0293920499476744,0.0407149041898413,109.03150847319576,98.1623390573901,117.78980987395201,Torus,12,0.25,2.0
4,0.06033845799677541,0.0531005903298694,0.0677139265880445,105.68175511044208,60.8235246269448,161.37804198237,Torus,16,0.65,2.0
0,0.021807062777666225,0.0191472256185877,0.0250928859902416,238.91660992487823,198.114514386767,280.625570706303,Torus,4,0.65,2.0
1,0.02882384468129855,0.024901618548697997,0.0324397205375374,186.78393570317328,159.235599919089,215.583329264052,Torus,6,0.65,2.0
2,0.041091115357065534,0.0345166193789301,0.0477052901852529,130.75642185389762,82.01073631896891,190.68225089502602,Torus,8,0.65,2.0
3,0.04288681873659009,0.0373259121061007,0.0490423099071297,124.65444949027146,90.4833137361845,157.789057506321,Torus,12,0.45,2.0
4,0.06305160544813791,0.0557291824107281,0.0727905550813118,104.09361985364686,56.6059371981007,175.086063721073,Torus,16,0.95,2.0
0,0.025702205924454147,0.0214032274091314,0.0305974160967724,172.55271791392366,159.065753572153,184.389934239965,Torus,6,0.45,2.0
1,0.045074870588368274,0.037291393027342995,0.0556961723202724,125.29717524503694,69.5760607702271,205.06311034320098,Torus,8,0.95,2.0
2,0.04076916910131983,0.0378717346612041,0.0456552465490449,151.75548876842734,131.907783716434,174.825896444094,Torus,9,0.65,2.0
3,0.047479286691965855,0.0424082222429566,0.0554676570609057,123.92922071411553,76.66585049693849,180.70712780881198,Torus,12,0.65,2.0
4,0.020129976860625426,0.0166200196170792,0.0236725949510469,173.6232241559695,136.454957530754,226.995143573683,Ring,4,0.45,2.0
5,0.031510694251028995,0.0215862590158138,0.0473573153587455,169.4334317352124,74.8338562971716,349.373303465351,Ring,4,0.95,2.0
6,0.045494553818010895,0.0371188741009568,0.0584521260114207,102.56110890679778,43.2449711381631,204.95169582568198,Ring,6,0.45,2.0
7,0.05354449630867993,0.0399890469896914,0.0785362461755677,97.99247457266227,24.697298581437,256.214349066365,Ring,6,0.65,2.0
8,0.05525249566516289,0.0461803043916601,0.0681184188509923,73.54030874806729,35.9666080518108,124.91624693867399,Ring,8,0.25,2.0
0,0.021339320973532267,0.0154143667329465,0.0276655699721063,126.32675274805969,116.696209828102,133.96582984544,Torus,6,0.25,2.0
1,0.028741679218180726,0.02380341975516,0.0345808999158414,117.11147779928145,109.860075930793,124.49345038705401,Torus,9,0.25,2.0
2,0.056569679738916724,0.0510875831700813,0.0639039174720523,106.0229344942262,71.4504662679601,136.938427917883,Torus,16,0.45,2.0
