Statistics for the Long Run Time Average SendRate2.log with Accuracy 0.95
Point Estimation:	Confidence Interval:			Confidence Level:	Relative Error:		Accurate:
-------------------------------------------------------------------------------------------------------------------------
Not Specified		[-inf, inf]				0.9			inf			false
Not Specified		[-inf, inf]				0.9			inf			false
131.709403157809	[131.427083271946, 131.991723043672]	0.9			0.00214811041099566		true
131.709403157809	[131.427083271946, 131.991723043672]	0.9			0.00214811041099566		true
142.128979865484	[124.640390805363, 159.617568925606]	0.9			0.140312373437848		false
138.697169487984	[125.916743594669, 151.477595381298]	0.9			0.10149901854558		false
144.013255586097	[129.250223402473, 158.77628776972]	0.9			0.114220554479453		false
142.265414286671	[130.209502081846, 154.321326491496]	0.9			0.0925885746590702		false
143.240327163775	[132.618250133954, 153.862404193597]	0.9			0.080095137879533		false
145.796553659316	[134.987366217392, 156.60574110124]	0.9			0.0800755488814887		false
145.643235910072	[136.118669775524, 155.167802044619]	0.9			0.0699725184668259		false
145.562032281901	[137.044782852533, 154.079281711269]	0.9			0.0621493883392361		false
146.177438721868	[138.286250568695, 154.06862687504]	0.9			0.0570641558413842		false
145.81702953923	[138.623012863879, 153.011046214581]	0.9			0.0518962654665075		false
145.647137666202	[139.03868982873, 152.255585503674]	0.9			0.0475295606252632		true
144.73709008836	[138.45306654514, 151.02111363158]	0.9			0.045387391554606		true
145.502481052892	[139.39163947778, 151.613322628003]	0.9			0.0438393694055505		true
146.116720759587	[140.21796840702, 152.015473112154]	0.9			0.0420684482850602		true
145.603203451117	[140.017546276921, 151.188860625312]	0.9			0.0398925514888569		true
145.016948514437	[139.675467612925, 150.358429415949]	0.9			0.0382420835440824		true
146.056155849553	[140.543235266573, 151.569076432533]	0.9			0.0392257981860421		true
145.44379546942	[140.126741206863, 150.760849731976]	0.9			0.0379446079796251		true
145.768199121924	[140.644090899422, 150.892307344425]	0.9			0.036433156841021		true
145.475991483925	[140.579290893554, 150.372692074297]	0.9			0.0348323039563433		true
146.585015164417	[141.370399596811, 151.799630732024]	0.9			0.0368861910447928		true
147.127081823668	[141.982863319755, 152.27130032758]	0.9			0.036231263292158		true
146.56136050873	[141.544986542018, 151.577734475442]	0.9			0.0354401387803525		true
146.783532070673	[141.927286876943, 151.639777264402]	0.9			0.0342164308258763		true
146.889517811883	[142.203829695819, 151.575205927947]	0.9			0.0329505058062576		true
146.320780031579	[141.70636837775, 150.935191685409]	0.9			0.032563191807506		true
146.702545318366	[142.162463275117, 151.242627361616]	0.9			0.0319358706838374		true
147.151574702028	[142.649780520642, 151.653368883413]	0.9			0.0315583673872824		true
147.210802630043	[142.850854243317, 151.570751016769]	0.9			0.0305209822497781		true
146.78499317926	[142.507618352755, 151.062368005764]	0.9			0.0300150607802334		true
146.908234516621	[142.747502076424, 151.068966956819]	0.9			0.02914749736195		true
147.000902740363	[142.954445890239, 151.047359590487]	0.9			0.0283059181890069		true
147.173922091268	[143.219871572331, 151.127972610205]	0.9			0.0276082534883441		true
146.905094635577	[143.04157531013, 150.768613961025]	0.9			0.0270097649377177		true
146.919197702593	[143.160491522993, 150.677903882192]	0.9			0.0262551919151235		true
147.050301738357	[143.375573697633, 150.725029779081]	0.9			0.0256300843020407		true
146.619396499092	[142.962955251826, 150.275837746358]	0.9			0.0255761448189546		true
146.523390411204	[142.959575011865, 150.087205810544]	0.9			0.0249288331966832		true
147.022725649298	[143.389567890655, 150.65588340794]	0.9			0.02533767143655		true
147.24693392519	[143.662672238244, 150.831195612135]	0.9			0.024949150890088		true
147.144335414909	[143.643863588761, 150.644807241058]	0.9			0.0243691010440251		true
147.415533135983	[143.941359910163, 150.889706361803]	0.9			0.0241360317006063		true
147.327708081417	[143.931564876535, 150.723851286299]	0.9			0.0235955414491261		true
147.439544077409	[144.105329409977, 150.773758744841]	0.9			0.0231373446151075		true
146.784306761053	[143.301853553278, 150.266759968827]	0.9			0.0243015224257377		true
146.813037832013	[143.401913324349, 150.224162339676]	0.9			0.0237871617510994		true
147.298373367019	[143.804530568433, 150.792216165606]	0.9			0.0242957769464995		true
147.462815884653	[144.016274034303, 150.909357735002]	0.9			0.0239316137947623		true
147.331473161148	[143.94976425801, 150.713182064285]	0.9			0.0234922851077144		true
147.987106954187	[144.407402246803, 151.56681166157]	0.9			0.0247889280721611		true
147.834307747329	[144.31769744402, 151.350918050639]	0.9			0.0243671453022862		true
147.919421714545	[144.460208455297, 151.378634973793]	0.9			0.0239457861527224		true
148.067939385199	[144.652506741106, 151.483372029292]	0.9			0.0236112924762912		true
147.825237772803	[144.449160914666, 151.201314630939]	0.9			0.0233720766306916		true
147.667305255354	[144.344007964729, 150.990602545979]	0.9			0.0230234516658101		true
147.461085026439	[144.180152463293, 150.742017589584]	0.9			0.0227557850861673		true
147.608391810737	[144.363856165441, 150.852927456033]	0.9			0.0224747089159086		true
147.848857586279	[144.613627562317, 151.084087610241]	0.9			0.0223715432528499		true
147.804958754684	[144.624002951504, 150.985914557864]	0.9			0.0219946602103554		true
147.808593814426	[144.679142827427, 150.938044801424]	0.9			0.0216302842679338		true
147.996247884166	[144.886902688257, 151.105593080075]	0.9			0.0214604987629524		true
148.135364989345	[145.056834451358, 151.213895527331]	0.9			0.0212229265144956		true
148.470008452186	[145.355859329687, 151.584157574684]	0.9			0.0214243109074487		true
148.724966256902	[145.607348223748, 151.842584290057]	0.9			0.021411131177004		true
148.554686847378	[145.473155925448, 151.636217769308]	0.9			0.0211828148109294		true
